Hour,Baseline_kW
628,36.220248979908526
629,37.85398307980585
630,44.20697474457259
631,57.5961400577575
632,67.05968853097049
633,72.32538926682416
634,75.30777337450901
635,77.45756549263156
636,79.65709064109124
637,79.9585561289213
638,79.9585561289213
639,79.9585561289213
640,79.9585561289213
641,79.9585561289213
642,79.9585561289213
643,79.9585561289213
644,77.6141603584898
645,72.67967541464152
646,70.78964690027081
647,66.97708852164676
648,49.29487898209424
649,43.44861727607762
650,32.06542057986585
651,30.937223060523472
652,35.26769436508194
653,40.719357128825266
654,43.09555744731169
655,58.27161088307174
656,66.43964669875248
657,73.31118257750276
658,72.98609093493687
659,78.37069516898426
660,79.9585561289213
661,79.9585561289213
662,79.9585561289213
663,79.9585561289213
664,79.9585561289213
665,79.9585561289213
666,79.9585561289213
667,79.9585561289213
668,76.53639749099682
669,75.1055218019525
670,70.74798667432842
671,66.09374736139016
672,52.859307366100886
673,38.71357959638209
674,35.17449994113707
675,31.5573513628439
676,32.729809736689354
677,39.210525925765054
678,52.985928203857455
679,55.098243493268825
680,69.21748491727502
681,73.00152868926956
682,75.12134604509669
683,76.027630654397
684,79.9585561289213
685,79.9585561289213
686,79.9585561289213
687,79.9585561289213
688,79.9585561289213
689,79.9585561289213
690,79.9585561289213
691,79.9585561289213
692,79.0742205918601
693,74.43630459046595
694,73.19936897296311
695,64.30837667270143
696,50.91423887213779
697,43.90392837034731
698,39.65586910898196
699,34.63043070656238
700,38.99939057407252
701,42.158192372308115
702,56.98813142265127
703,60.745992027961776
704,66.69222365275134
705,71.06597121303578
706,74.46096166723852
707,77.79387700505927
708,79.9585561289213
709,79.9585561289213
710,79.9585561289213
711,79.9585561289213
712,79.9585561289213
713,79.9585561289213
714,79.9585561289213
715,79.9585561289213
716,78.21122193101218
717,74.8724198993075
718,73.39305632459352
719,65.85766829818425
720,55.68135144794389
721,41.15732951012379
722,37.00368949679688
723,35.01320189088875
724,36.54920213965303
725,42.9606619465279
726,51.28201693698419
727,64.26734695382673
728,68.10800691207558
729,72.9439279970363
730,75.20342091060303
731,79.9585561289213
732,79.9585561289213
733,79.9585561289213
734,79.9585561289213
735,79.9585561289213
736,79.9585561289213
737,79.9585561289213
738,79.9585561289213
739,79.9585561289213
740,76.82920554677914
741,76.17089789820525
742,72.9413980707614
743,65.42713980925627
744,63.414531863456304
745,44.09552523096018
746,36.324585785683524
747,34.519956661922244
748,39.299847916330414
749,38.68085296031419
750,48.2425639007178
751,62.18410445437746
752,67.19506919343922
753,73.18963016596894
754,75.5386746177262
755,77.1969918772212
756,79.9585561289213
757,79.9585561289213
758,79.9585561289213
759,79.9585561289213
760,79.9585561289213
761,79.9585561289213
762,79.9585561289213
763,79.9585561289213
764,78.66840043351321
765,74.23019986449094
766,73.31108406900239
767,66.93585511304025
768,52.27272996765436
769,42.7004255119423
770,38.199336664967774
771,31.979818891655544
772,33.21002929452061
773,39.87398305174434
774,56.440486404569256
775,63.029689815208904
776,70.72197340194813
